feature,setting,importance_mean
chl_times_nflh,FULL,0.10508612568159001
chlor_a,FULL,0.013742668530564462
fai_mean,FULL,0.008035362073823566
kd490,FULL,0.00023809523809523725
log_chlor_a,FULL,0.005274725274725256
log_kd490,FULL,0.009467248437836672
log_nflh,FULL,0.017944730705078057
month_cos,FULL,0.0
month_num,FULL,0.01940956680557705
month_sin,FULL,0.00609781242463755
ndwi_mean,FULL,-0.003898635477582779
ndwi_std,FULL,0.028691922112974742
nflh,FULL,0.013245988903883689
p_frcnn_mb_med,FULL,0.0
p_frcnn_r50_med,FULL,-0.0003824215711692891
p_ssd_mb_med,FULL,0.027077299053705595
p_tab,FULL,0.0
ratio_chl_kd,FULL,0.008861651169343444
ratio_nflh_kd,FULL,0.0024358974358974273
rednir_mean,FULL,0.004615384615384588
rednir_std,FULL,0.001559454191033155
sst,FULL,0.012972660867397729
sst_anom,FULL,0.0007692307692307665
sst_anom_x_chlor_a,FULL,0.005384615384615365
sst_anom_x_fai_mean,FULL,0.004044801352493655
sst_anom_x_kd490,FULL,-0.0006410256410256998
sst_anom_x_month_cos,FULL,0.003225083789355071
sst_anom_x_month_sin,FULL,0.07131733154117671
sst_anom_x_nflh,FULL,-0.003050976800976812
sst_anom_z,FULL,0.0020861880369520635
sst_clim_rm,FULL,-0.001153846153846161
chl_times_nflh,DROP_p_frcnn_mb_med,0.04155380857929082
chlor_a,DROP_p_frcnn_mb_med,0.00731837606837607
fai_mean,DROP_p_frcnn_mb_med,3.3306690738754695e-17
kd490,DROP_p_frcnn_mb_med,0.005202436452436438
log_chlor_a,DROP_p_frcnn_mb_med,0.014963369963369944
log_kd490,DROP_p_frcnn_mb_med,0.005021090021090019
log_nflh,DROP_p_frcnn_mb_med,-0.0057109557109556956
month_cos,DROP_p_frcnn_mb_med,4.4408920985006264e-17
month_num,DROP_p_frcnn_mb_med,0.007300130759084117
month_sin,DROP_p_frcnn_mb_med,-0.0032167832167832033
ndwi_mean,DROP_p_frcnn_mb_med,-0.0020979020979021044
ndwi_std,DROP_p_frcnn_mb_med,3.3306690738754695e-17
nflh,DROP_p_frcnn_mb_med,0.053826901617535644
p_frcnn_r50_med,DROP_p_frcnn_mb_med,0.003632478632478636
p_ssd_mb_med,DROP_p_frcnn_mb_med,-0.0043648018648018705
p_tab,DROP_p_frcnn_mb_med,-0.0003496503496503545
ratio_chl_kd,DROP_p_frcnn_mb_med,0.0047066822066822115
ratio_nflh_kd,DROP_p_frcnn_mb_med,-0.0031468531468531735
rednir_mean,DROP_p_frcnn_mb_med,-0.0013286713286713215
rednir_std,DROP_p_frcnn_mb_med,-0.0017530620200399583
sst,DROP_p_frcnn_mb_med,0.0014599959675029696
sst_anom,DROP_p_frcnn_mb_med,0.005262237762237753
sst_anom_x_chlor_a,DROP_p_frcnn_mb_med,-0.0006993006993006812
sst_anom_x_fai_mean,DROP_p_frcnn_mb_med,-0.0006701631701631627
sst_anom_x_kd490,DROP_p_frcnn_mb_med,0.0007692307692308109
sst_anom_x_month_cos,DROP_p_frcnn_mb_med,4.4408920985006264e-17
sst_anom_x_month_sin,DROP_p_frcnn_mb_med,0.000941142191142208
sst_anom_x_nflh,DROP_p_frcnn_mb_med,-0.0013694638694638605
sst_anom_z,DROP_p_frcnn_mb_med,-0.0034673659673659816
sst_clim_rm,DROP_p_frcnn_mb_med,-0.0023892773892773946
